Cin7 Order,Shopify Order,Location,Units,Order Value (R),Items (qty x SKU),Flag,First failed,Last attempt,Attempts
SO-00041,#3518627,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00046,#3519127,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00093,#3521427,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00100,#3521827,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00102,#3522027,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00118,#3519927,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00122,#3468327,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00123,#3481427,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00126,#3492427,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00127,#3493527,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,30/07/2026,2
SO-00128,#3495727,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00130,#3503727,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00132,#3508927,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00137,#3512327,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00138,#3512427,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00142,#3512827,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00143,#3512927,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00154,#3514327,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00158,#3514727,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00166,#3522427,,,,,Insufficient stock - not fulfilled in Cin7,28/07/2026,28/07/2026,1
SO-00179,#3449127,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00185,#3501727,,,,,Insufficient stock - not fulfilled in Cin7,23/07/2026,23/07/2026,1
SO-00186,#3523127,,,,,Insufficient stock - not fulfilled in Cin7,24/07/2026,24/07/2026,1
SO-00193,#3523827,,,,,Insufficient stock - not fulfilled in Cin7,24/07/2026,24/07/2026,1
SO-00194,#3523927,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00199,#3487027,,,,,Insufficient stock - not fulfilled in Cin7,24/07/2026,24/07/2026,1
SO-00200,#3491427,,,,,Insufficient stock - not fulfilled in Cin7,24/07/2026,24/07/2026,1
SO-00202,#3524427,,,,,Insufficient stock - not fulfilled in Cin7,28/07/2026,28/07/2026,1
SO-00205,#3524627,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00206,#3524727,,,,,Insufficient stock - not fulfilled in Cin7,30/07/2026,30/07/2026,1
SO-00208,#3525027,,,,,Insufficient stock - not fulfilled in Cin7,30/07/2026,30/07/2026,1
SO-00213,#3525527,,,,,Insufficient stock - not fulfilled in Cin7,29/07/2026,29/07/2026,1
SO-00221,#3526227,,,,,Insufficient stock - not fulfilled in Cin7,28/07/2026,28/07/2026,1
SO-00224,#3526527,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00225,#3526627,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00227,#3526827,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00230,#3527127,,,,,Insufficient stock - not fulfilled in Cin7,29/07/2026,29/07/2026,1
SO-00233,#3527527,,,,,Insufficient stock - not fulfilled in Cin7,30/07/2026,30/07/2026,1
SO-00240,#3518427,,,,,Insufficient stock - not fulfilled in Cin7,28/07/2026,28/07/2026,1
SO-00242,#3524927,,,,,Insufficient stock - not fulfilled in Cin7,28/07/2026,28/07/2026,1
SO-00244,#3528227,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00249,#3528727,,,,,Insufficient stock - not fulfilled in Cin7,28/07/2026,28/07/2026,1
SO-00255,#3529127,,,,,Insufficient stock - not fulfilled in Cin7,29/07/2026,29/07/2026,1
SO-00258,#3500127,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00262,#3368627,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00263,#3433027,,,,,Insufficient stock - not fulfilled in Cin7,27/07/2026,27/07/2026,1
SO-00265,#3529327,,,,,Insufficient stock - not fulfilled in Cin7,30/07/2026,30/07/2026,1
SO-00272,#3530027,,,,,Insufficient stock - not fulfilled in Cin7,28/07/2026,28/07/2026,1
SO-00275,#3530327,,,,,Insufficient stock - not fulfilled in Cin7,30/07/2026,30/07/2026,1
SO-00277,#3530527,,,,,Insufficient stock - not fulfilled in Cin7,30/07/2026,30/07/2026,1
SO-00284,#3531327,,,,,Insufficient stock - not fulfilled in Cin7,30/07/2026,30/07/2026,1
SO-00287,#3531627,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00315,#3534227,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00324,#3534727,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00331,#3460127,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00332,#3468727,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00333,#3480527,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,2
SO-00334,#3480627,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00335,#3480727,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00336,#3480827,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00337,#3482027,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
SO-00338,#3485327,,,,,Insufficient stock - not fulfilled in Cin7,31/07/2026,31/07/2026,1
