Zero/NonZero,Location,SKU,Name,Bin,BatchSerialNumber,ExpiryDate_YYYYMMDD,Quantity,UnitCost,Comments,ReceivedDate_YYYYMMDD
Zero,Cape Town Warehouse,MA-OM-S,Sloom Original Mattress Single,,,,7,3138.51,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-TQ,Sloom Original Mattress Three Quarter,,,,10,3533.93,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-TQXL,Sloom Original Mattress Three Quarter Extra Length,,,,5,4470.42,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-D,Sloom Original Mattress Double,,,,6,4829.80,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-Q,Sloom Original Mattress Queen,,,,15,5235.73,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-QXL,Sloom Original Mattress Queen Extra Length,,,,10,5721.35,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-K,Sloom Original Mattress King,,,,5,6078.62,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-KXL,Sloom Original Mattress King Extra Length,,,,5,6686.49,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-CTK,Sloom Original Mattress Cape Town King,,,,3,8940.84,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,AC-PL-K2,Sloom Adjustable Memory Foam Pillow King Double Pack,,,,45,1035.00,"SHOPIFY-RECEIPTS-JUL26-CPT | PO482 DN I349056 (Unifoam) | Goods received in Shopify 24 Jul 2026, not processed in Cin7",20260724
