Zero/NonZero,Location,SKU,Name,Bin,BatchSerialNumber,ExpiryDate_YYYYMMDD,Quantity,UnitCost,Comments,ReceivedDate_YYYYMMDD
Zero,Cape Town Warehouse,MA-OM-SXL,Sloom Original Mattress Single Extra Length,,,,10,3970.21,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7",20260720
Zero,Cape Town Warehouse,MA-OM-Q,Sloom Original Mattress Queen,,,,40,5235.73,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7 | 25 x I348784 (20 Jul 2026) + 15 x I349056 (24 Jul 2026)",20260720
Zero,Cape Town Warehouse,MA-OM-K,Sloom Original Mattress King,,,,15,6078.62,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7 | 10 x I348784 (20 Jul 2026) + 5 x I349056 (24 Jul 2026)",20260720
Zero,Cape Town Warehouse,MA-OM-KXL,Sloom Original Mattress King Extra Length,,,,30,6686.49,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7 | 20 x I348784 (20 Jul 2026) + 5 x I349056 (24 Jul 2026) + 5 x I349828 (7 Aug 2026)",20260720
Zero,Cape Town Warehouse,MA-OM-S,Sloom Original Mattress Single,,,,15,3138.51,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7 | 7 x I349056 (24 Jul 2026) + 8 x I349293 (29 Jul 2026)",20260724
Zero,Cape Town Warehouse,MA-OM-TQ,Sloom Original Mattress Three Quarter,,,,10,3533.93,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-TQXL,Sloom Original Mattress Three Quarter Extra Length,,,,5,4470.42,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-D,Sloom Original Mattress Double,,,,10,4829.80,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7 | 6 x I349056 (24 Jul 2026) + 2 x I349293 (29 Jul 2026) + 2 x I349485 (31 Jul 2026)",20260724
Zero,Cape Town Warehouse,MA-OM-QXL,Sloom Original Mattress Queen Extra Length,,,,10,5721.35,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7",20260724
Zero,Cape Town Warehouse,MA-OM-CTK,Sloom Original Mattress Cape Town King,,,,8,8940.84,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7 | 3 x I349056 (24 Jul 2026) + 2 x I349293 (29 Jul 2026) + 3 x I349828 (7 Aug 2026)",20260724
Zero,Cape Town Warehouse,AC-PL-K2,Sloom Adjustable Memory Foam Pillow King Double Pack,,,,45,1035.00,"SHOPIFY-RECEIPTS-JUL-AUG26-CPT | PO482 DN I348784/I349056/I349293/I349485/I349828 (Unifoam) | Goods received in Shopify 20 Jul - 7 Aug 2026, not processed in Cin7",20260724
